Title,Year,Abstract
"[PDF] Effect of gypsum and cow manure on yield, proline content, and K/Na ratio of soybean genotypes under saline conditions",2018,"Gypsum and cow manure potential as ameliorant to increase crop production under salt stress
or saline condition. This research aimed to learn the effect of gypsum and cow manure on …"
"Comparison of DNA extraction methods between conventional, kit, alkali and buffer-only for PCR amplification on raw and boiled bovine and porcine meat",2017,"Detection of porcine contamination in food material by employing PCR techniques is integral
in halal food confirmation. However, PCR is both costly and laborious, particularly in DNA …"
Effect of calcination at synthesis of Mg-Al hydrotalcite using co-precipitation method,2017,"The use of hydrotalcite in catalysis has wide attention in academic research and industrial
parties. Based on its utilization, hydrotalcite can be active catalyst or support. This research is …"
"[PDF] Effects of Pseudomonas fluorescens and sulfur on nutrients uptake, growth and yield of groundnut in an alkaline soil",2016,"The aim of this research was to study the influence of P. fluorescens and sulfur on nutrients
uptake, growth and yield of groundnut in alkaline soil. The experiment was conducted in the …"
[PDF] Integration of the latest digital terrain model (DTM) with Synthetic aperture radar (SAR) bathymetry,2021,"Article history: Received 12 December 2020 Accepted 3 March 2021 Published 1 April 2021
Topography and bathymetry integration is one of the essential things in providing height …"
"Adaptability of some legume trees on quartz tailings of a former tin mining area in Bangka Island, Indonesia",2016,"Tin mining activities in Bangka Island, besides their important role in contributing to state
revenues, also caused damage to the environment, among others in the form of quartz tailings …"
"[PDF] The effect of tillage systems and dosages of cow manure on weed and soybeans yield (Glycine max, Merrill)",2019,"A field experiment to elucidate the effect of tillage systems and dosages of cow manure on
weed and soybeans yield (Glycine max, Merrill) was conducted at the Agrotechno Park of the …"
"[PDF] The role of women in Lok Baintan Floating Market, South Kalimantan: implication for tourism development",2017,"Lok Baintan Floating Market is the tourism destination in South Kalimantan. Trading activity
in Lok Baintan become the tourism attraction, which traders in the Floating Market are …"
"[PDF] River, Culture and Tourism in Lok Baintan, South Kalimantan",2016,"River become integral part of the Banjarese live in Lok Baitan, South Kalimantan. The
economic value of the river has been reported very high. Rivesr is a habitat for numerous fishes …"
"The evaluation of incentive-disincentive system in tourism development: a case study of Lake Linow development, Tomohon, North Sulawesi",2016,"The aim of the research is to evaluate the implementation of incentive-disincentive system
which area implemented in Lake Linow in term of tourism development. This result confirm …"
Potency and Diversity of Fungi on Pine Litter and Rhizosphere in Different Land-use of Universitas Brawijaya (UB) Forest,2022,"The agroforestry system with its diversity of vegetation has the potential on the existence of
antagonistic and entomopathogen fungi. This study was conducted to evaluate the diversity …"
"Land suitability evaluation of shallot (Allium ascalonicum L.) at production centres in Losari District, Brebes",2018,"The demand for shallots is getting higher as the population grows. Indonesia targets to become
a self-sufficient country of onion and the largest exporter of shallots in ASEAN by 2045. …"
"[PDF] Effect of soil and water conservation on rehabilitation of degraded lands and crop productivity in Maego watershed, North Ethiopia",2018,"Many soil and water conservation (SWC) measures have been carried out to solve land
degradation problems in Ethiopia. However, evaluation of their performance is essential to …"
… Writing Achievement (A Correlation Study At The 2nd Semester Of English Language Education Program (Elep) Students Of Universitas Brawijaya In Academic Year …,2017,"Tatabahasa dan menulis adalah komponen bahasa dan kecakapan yang harus dipelajari
pembelajar bahasa. Tatabahasa adalah peraturan atau sistem yang mengatur struktur dan …"
Influence of work discipline and work motivation on employee performance (Study on Universitas Brawijaya Malang Republic of Indonesia Employee Cooperative),2021,"The purpose of this study is to (1) examine and explain the influence of work motivation on
employee performance,(2) examine and explain the influence of work discipline on employee …"
Exploring Islamic Leadership on SME Performance: Mediated by Innovative Work Behavior and Financial Technology,2021,"The current condition of the Indonesian economy is far different from that of the economy ten
years ago. One of the differences in the structure and construction of the Indonesian …"
Students' Errors in Pronouncing English Vowels: A Case Study of the First Year Students of English Study Program of Faculty of Culture Studies,2011,"… Sampel dalam penelitian ini adalah 39 mahasiswa tahun ajaran pertama di 13 kelas
Academic Speaking Fakultas Ilmu Budaya Universitas Brawijaya. Dalam data analisis, peneliti …"
[PDF] The potential of bitter leaf (Vernonia amygdalina) in herbal medicine as anti-inflammatory Agent,2023,"Proses inflamasi melibatkan peningkatan permeabilitas vaskular, denaturasi protein, dan
perubahan membran. Flavonoid merupakan senyawa metabolit sekunder dengan aktivitas …"
The Effect Of Financial Leverage on Firm Value and Market Risk (Research on Consumer Goods Industries Listed in Indonesian Stock Exchanges in the Year of 2010 …,2014,"Perusahaan memproduksi barang untuk mendapatkan target laba. Sebuah perusahaan
memperoleh laba dari total pendapatan dikurangi biaya produksi yang dikeluarkan oleh …"
"[PDF] Potential rainwater harvesting suitable land selection and management by using GIS with MCDA in Ebenat District, Northwestern Ethiopia",2020,"Rainwater harvesting (RWH) is the way to reduce the effects of mid-season dry spells and
drought, which often reduce crop yields. Geographic information system (GIS) with multi-…"
[PDF] The use of ash and biochar derived oil palm bunch and coal fly ash for improvement of nutrient availability in peat soil of Central Kalimantan,2021,"Article history: Received 25 December 2020 Accepted 3 February 2021 Published 1 April
2021 The increment of peat soil productivity meets through ameliorant addition. Ameliorant …"
"Effects of integrated use of grass strip and soil bund on soil properties, Southern Ethiopia",2019,"Soil degradation is the major environmental and agricultural production problem in the highlands
of Ethiopia. The objectives of the study were to examine farmers’ use of grass strip and …"
"[PDF] Reflective practice in stimulating professional growth of English department lecturers of Universitas Brawijaya, Indonesia",2013,"… by the English Department lecturer(s) of Universitas Brawijaya. In addition, the variables of
… of 3 male and 12 female English Department lecturers of Universitas Brawijaya (n=15). 4 of …"
[PDF] The dynamics of shoreline change analysis based on the integration of remote sensing and geographic information system (GIS) techniques in Pekalongan …,2019,"Coastal areas are found in the dynamic zone at the interface between the three major natural
systems of the Earth's surface. The phenomenon of shoreline change is one of the most …"
Phytoremediation of tapioca wastewater using water hyacinth plant (Eichhornia crassipes),2015,"The objective of this study was to elucidate the possible phytoremediation of liquid waste of
tapioca industry using Eichhornia crassipes prior its usage for watering maize grown on an …"
"[PDF] Artisanal and small-scale mining activities as post-mining land use in abandoned mine sites: a case of Giyani and Musina areas, Limpopo Province of South …",2021,"Article history: Received 11 March 2021 Accepted 27 March 2021 Published 1 April 2021
South Africa has many artisanal and small-scale mining (ASM) activities that some are …"
"[PDF] Exploration of marine tourism in Watulimo, Trenggalek Regency: challenges, potentials, and development strategies",2017,"Watulimo District, Trenggalek Regency is one of the area in East Java Province that has an
abundant marine potential. However, this huge potential has not been optimally developed …"
Glyphosate biodegradation by plant growth promoting bacteria and their effect to paddy germination in glyphosate contaminated soil,2017,"Glyphosate is the most widely used herbicide in Indonesia. Glyphosate persistence
between 55 days to 3 years. Widespread and uncontrolled use can cause weeds to become …"
The effect of ameliorants on improvement of soil fertility in post gold mining land at West Kalimantan,2017,"The application of ameliorant has been suggested to improve soil fertility and crop growth in
post illegal gold mining (PIGM) lands. This study evaluated the effect of ameliorant types …"
"[PDF] Antibacterial activity test, evaluation of pharmacognosy and phytochemical screening of some extracts of globe amaranth (Gomphrena globosa)",2017,"Indonesia is a rich biodiversity country where various medicinal plants have existed. One
species of medicinal plants is Globe Amaranth (Gomphrena globosa, Amaranthaceae). This …"
"[PDF] Inventory of invasive plant species along the corridor of Kawah Ijen nature Tourism Park, Banyuwangi, East Java",2014,"A field survey was conducted in November 2013 to inventory invasive plant species present
along the corridor of Kawah Ijen Nature Tourism Park exploratively. Result showed that …"
[PDF] Development of Accounting and Budget System of General Services Board in Universitas Brawijaya: Study of Interpretive,2014,"… of general service board Universitas Brawijaya using the … of general service board Universitas
Brawijaya done today. This … of general service board Universitas Brawijaya is to meet the …"
[PDF] The potential use of indigenous nickel hyperaccumulators for small-scale mining in The Philippines,2013,"Uptake of nickel and three other heavy metals (copper, cobalt, and chromium) was examined
in 33 species of the common and rare native vascular plants growing in an ultramafic area …"
[PDF] Push and pull motivations on halal tourism,2020,"The purpose of this study was to examine empirically the causal relationships among push
and pull travel motivations, destination image, and tourists' travel satisfaction on halal tourism…"
Socio economic impacts and policy of artisanal small-scale gold mining in relation to sustainable agriculture: a case study at Sekotong of West Lombok,2017,"Artisanal and small scale gold mining (ASGM) activities at Sekotong Sub District, West Lombok
District, West Nusa Tenggara which use a traditional system have been operating since …"
[PDF] Application of drip irrigation technology for producing fruit of Salak 'Gula Pasir”(Salacca zalacca var. Gulapasir) off season on dry land,2014,"Naturally, Salak Gula Pasir (Salacca zalacca var. Gula Pasir) is flowering every three months
or four times a year, but only one or two flowering seasons that the flowers can develop into …"
[PDF] Structural modelling of riparian tree diversity and ecosystem degradation roles in determining the water quality of springs and its drains in East Java,2020,"This research was aimed to study the role of riparian trees and ecosystem degradation to
determine water quality in some springs and its channels located in East Java. The research …"
Effects of arbuscular mycorrhiza inoculation on growth and yield of tomato (Lycopersicum esculentum Mill.) under salinity stress,2015,"Objective of the research was to study the effect mycorrhiza on growth and yield of tomato.
The experiment was conducted in screen house 14 mx 10.5 m, in Pasuruan on November …"
[PDF] EFL Learning Strategies of Successful Students of Vocational Program At Universitas Brawijaya,2020,"… study aims to investigate kinds of learning strategies that have been implemented by successful
students majoring in Hotel Management at Vocational Program of Universitas Brawijaya. …"
"[PDF] Development of Community-Based Tourism in Pinusan Kragilan, Pogalan Village, Magelang Regency, Central Java, Indonesia",2019,"The purpose of this study is to describe community involvement in the development of
Kragilan Top Selfie Pinusan tourist destinations (TSPK) and explain the role of Tourism …"
Humification degree and its relationship with some soil physical characteristics on robusta coffee (Coffea canephora) plantation,2016,"Soil moisture stress in coffee plant impacts on the productivity of coffee fruit at PT. Perkebunan
Nusantara XII, it is because the low ability of the soil to store water. The ability of the soil to …"
Negative Marketing in the Cosmetics Industry: The Effect of Greenwashing Perceptions on Purchase Intention Through Brand Image,2022,"With the rise of the sustainable lifestyle movement, the Javanese people are becoming more
aware of the need to buy environmentally friendly products, especially cosmetics. The facts …"
The effect of juice mangosteen rind (Garcinia mangostana L.) to blood sugar levels and histological of pancreatic rats with the induction of streptozotocin,2014,"Diabetes Mellitus (DM) is a chronic metabolic disorder characterized by high blood sugar
levels as a result of insufficiency of insulin function. Xanton a bioactive compound in the …"
[PDF] Anti-implantation activity of kepel (Stelechocarpus burahol) pulp ethanol extract in female mice,2015,"Kepel (Stelechocarpus burahol) has been used as a contraceptive remedy in Indonesian
traditional Javanese royal family. It fruit contains a toxic substances to fetus. However, few …"
[PDF] The effect of biogas slurry and inorganic fertilizer on soil fertility and yield of cucumber (Cucumis sativus L.),2019,"Combining the application of organic manure with inorganic fertilizer treatment can improve
the productivity of the cucumber. Biogas slurry is synthesized from organic manure that can …"
DEM classifications: opportunities and potential of its applications,2019,"DEM is a digital model that provides topographic information. DEM can be made from
terrestrial surveys, aerial photography, video, optical, and radar satellites, LIDAR and multidata …"
"Community structure and biomass of reef fish concerning coral cover in Sempu Strait, East Java, Indonesia",2024,"… Marine Sciences, Universitas Brawijaya. Jl. Veteran, Malang 65145, East Java, Indonesia
… Coastal Resilience and Climate Change Adaptation Research Group, Universitas Brawijaya…"
[PDF] The role of local government for local product processing: the implication for tourism sustainability in Lok Baintan Floating Market,2019,"Lok Baintan floating market is the destination tourism in South Kalimantan Province. The
trader activity in the floating market becomes the attractiveness of tourism activity. The diversity …"
"Analysis Of The Effect Of Gross Regional Domestic Product, Education, Open Unemployment, Minimum Wages And Human Development Index On Poverty Of West …",2020,"Penelitian ini bertujuan untuk menganalisis pengaruh dari variabel independen, Produk
Domestik Regional Bruto, Pendidikan, Pengangguran Terbuka, Upah Minimum dan Indeks …"
[PDF] Application of organic matter to enhance phytoremediation of mercury contaminated soils using local plant species: a case study on small-scale gold mining …,2014,"The discharge of small-scale gold mine tailing to agricultural lands at Pesanggaran village
of Banyuwangi Regency caused soil degradation as indicated by reduced crop production. …"
[PDF] The influence of rice husk and tobacco waste biochars on soil quality,2017,"Heavy metal pollution in agricultural land threatens soil and food quality. Soil pollution could
be remediate using biochar, but the effectiveness of biochar on soil quality improvement is …"
A semiotic analysis on movie posters of Harry Potter and The Deathly Hallows,2013,"Poster film memiliki tujuan komersial sebagai media untuk mengiklankan film. Poster film
memberikan pandangan mengenai film tersebut.dalam studi ini Penulis memilih poster film …"
Ex-coal mine lands and their land suitability for agricultural commodities in South Kalimantan,2020,"Coal mining is carried out with an open system that is dredging topsoil, and then taken the
coal material. In 2016, the Indonesian Center for Agricultural Land Resources Research and …"
Effects of organic fertilizer and plant spacing on early-medium maturity soybean,2018,"Efforts to increase soybean productivity must be synergy with the improvement of soil fertility
through fertilizer, especially organic fertilizer. Population density of a crop determines to a …"
[PDF] Effects of lime and coffee husk compost on growth of coffee seedlings on acidic soil of Haru in Western Ethiopia,2020,"A pot experiment was conducted to determine the effects of lime, coffee husk compost and
their combinations on growth response of coffee (Coffea arabica L.) seedlings at Haru …"
"[PDF] City branding strategy on the evaluation of tourism destination problems in rural area (evidence from Pasuruan City, Indonesia)",2016,"This research find the essential problems of tourism destinations in rural area in Pasuruan
City, Indonesia. Based on the phenomenology method and using an open questionnaire, …"
Readiness and Perception of the Faculty of Cultural Studies Lecturers Universitas Brawijaya About the Implementation of Blended Learning,2020,"This article describes the lecturer readiness and teaching experience on the use of blended
learning. The mode of instruction is a combination of convensional or face to face instruction …"
[PDF] Composition and diversity of arbuscular mycorrhizal fungi spore associated with different land-use types in tropical gold mine,2020,"Understanding the composition and diversity of arbuscular mycorrhizal fungi (AMF) is
imperative for potentially enhancing their ecological role in different terrestrial ecosystems. Land …"
[PDF] Co-Ni/HZSM-5 catalyst for hydrocracking of Sunan candlenut oil (Reutealis trisperma (Blanco) airy shaw) for production of biofuel,2017,"The production of biofuel by hydrocracking of Sunan candlenut oil as renewable energy can
substitute fossil energy. The purpose of this work is to produce biofuel by hydrocracking of …"
Residual effect of potassium fertilizer and biochar on growth and yield of maize in the second season,2017,"Application of biochar can increase availability of plant nutrients and yield. A field experiment
was conducted on anInceptisol with aim to determineresidual potassium fertilizer and …"
"[PDF] Aquifer distribution and groundwater geochemistry in bojonegoro sub-district, bojonegoro district, east java province, Indonesia",2020,"Bojonegoro Sub-district is the capital of Bojonegoro District, East Java Province, Indonesia.
This area has quite high economic growth supported by large oil and gas reserves. An …"
"[PDF] Analysis of bird diversity for supporting ecotourism development in Rajegwesi, Meru Betiri National Park",2015,"Potential ecotourism attraction in Rajegwesi Village, Meru Betiri National Park is high due to
its high biodiversity, especially bird diversity, in the form of bird watching activity. This study …"
"[PDF] Plants diversity for ethnic food and the potentiality of ethno-culinary tourism development in Kemiren Village, Banyuwangi, Indonesia",2017,"Recent rapid grow of culinary tourism has significant potential contribution to enhancing
biodiversity conservation especially biodiversity of local plant species for local food and food …"
[PDF] Comprehensive integration system of saltwater environment on Rote Island using a multidisciplinary approach,2018,"Rote Island is one of the islands in southern of Indonesia. This region experiences very high
geological and geodynamic processes. This is evidenced by the abundance of seabed …"
"[PDF] … behavior, professional commitment, and anticipatory socialization on whistle blowing intention (empirical study of accounting students at Universitas Brawijaya)",2019,"… The population in this study is accounting students of Universitas Brawijaya. This research
used primary data that are collected by offline questionnaire distribution. To examine the …"
[PDF] Comparative assessment of The Effect of Moringa oleifera Leaf Extract (MLE) and Zeatin on invitro Regeneration Response of Pogostemon cablin Bud Explants,2021,"… This study was carried out in the tissue culture laboratory, Faculty of Agriculture of Universitas
Brawijaya, Malang East Java from June 2019 to March 2020. The materials used included …"
Potential use of soil-born fungi isolated from treated soil in Indonesia to degrade glyphosate herbicide,2014,"The glyphosate herbicide is the most common herbicides used in palm-oil plantations and
other agricultural in Indonesial. In 2020, Indonesian government to plan the development of …"
"[PDF] Perception of tourist towards the potential development of Tumpa Mountain area as integrated ecotourism, Manado, North Sulawesi Province",2015,"Tumpa is the name of mountain located at the northern part of the Manado City region which
bordering The National Park of Bunaken. As a mountainous region with a height of±623m (…"
"[PDF] Community participation in festival and digital tourism campaign (Case of North Halmahera District, Indonesia)",2019,"Galela community participation in the implementation of the Festival Tanjung Bongo (FTB)
shows the existence of a partnership pattern in accordance with pentahelix elements. This …"
The Effect of Perceived Risk and Trust Toward Behavioral Intention to Use (A Study to Shopee Application Users in Surabaya),2019,"Belanja online telah menjadi tren baru di era 2010, dan penting untuk memilih toko online
tepercaya baik dalam aplikasi atau situs web. Satu hal yang dapat dipertimbangkan ketika …"
[PDF] A preliminary study on the treatment of restaurant wastewater using electrocoagulation technique,2020,"Restaurant Wastewater (RW) is characterized by high volume and strength, with minimal
treatment before its release into the environment. Electrocoagulation (EC) could be a better …"
[PDF] Effect of long of landuse and cropping system on soil fertility and cassava yield,2018,"A study that was aimed to determine the influence of long of land use and cropping systems
on soil fertility and yield of cassava conducted at centre of cassava in Sukadana Subdistrict, …"
[PDF] Policy determination in E-budgeting implementation by the government of DKI Jakarta–Indonesia,2021,"This research discusses and analyzes the deep comprehensiveness of the process of
determining and implementing the E-Budgeting Policy by the Government of the Jakarta Migrant …"
Investigating the image of Japanese food on intention of behavior: Indonesian intention to visit Japan,2014,"Country-of-Origin Image (COI) has been recognized as a possible factor to influence the
image of product especially toward international products. COI occurred due to the consumer’s …"
[PDF] Bioactive compound from mangoes leaves extract as potential soil bioherbicide to control amaranth weed (Amaranthus spinosus Linn.),2017,"Bioherbicide is important approach for sustainable farming practices. One of plant that has
potentially as bioherbicide, which is environmentally safe, is mango. Mango leaf extract is …"
Characteristics of Lusi mud volcano and its impacts on the Porong River,2014,"Since the first gas and mud volcano spewed from well at Sidoarjo, East Java, Indonesia (called
Lusi or Lapindo mud) in 2006, its keep flowing ever since. Despite the occurrence of Lusi …"
Presuppositions In Green Campaign Stickers Issued By International Association Of Students In Agriculture And Related Sciences Of Universitas Brawijaya,2014,"… stiker kampanye hijau di IAAS Universitas Brawijaya. Ada 2 … hijau milik oleh IAAS Universitas
Brawijaya? dan (2) … kampanye hijau milik oleh IAAS Universitas Brawijaya?. Penelitian ini …"
[PDF] Application of analytic hierarchy process and geographic information system techniques in flood risk assessment: a case of Ofu river catchment in Nigeria,2018,"Flood risk assessment of Ofu River Catchment in Nigeria was carried out by integration of
thematic maps in ArcGIS 10.2. 2. Analytic Hierarchy Process (AHP) was applied in the decision …"
[PDF] Utilization of oil palm empty bunches waste as biochar-microbes for improving availability of soil nutrients,2016,"There are about 23% waste oil palm empty fruit bunches (OPEFB) of total waste generated
from the production of crude palm oil in oil palm plantations. Pyrolysis technology can be …"
[PDF] The effect of comic as an introduction media of Bali cattle in Universitas Brawijaya,2019,"… The purpose of this research is to find out Universitas Brawijaya students’ knowledge change
regarding Bali cattle after receiving comic intervention as a media exposure. The research …"
[PDF] The local mineral potential from East Lampung-Indonesia: the use of basalt rock as a stone meal for cassava plant,2019,"Indonesia has an abundant amount of basalt rocks resources, including in East Lampung
Regency of Lampung Province. This basalt has not been used optimally and only be used as a …"
[PDF] Nepenthes as tourism flagship species: the conservation strategies in Dayak Seberuang Settlements Area,2017,"The aims of this research are to formulate the conservation strategies of lowland Nepenthes
based on conservation status analysis, distribution map, and conceptualizing Nepenthes as …"
"[PDF] The Influence Of Corporate Social Responsibility (Csr), Profitability, And Firm Size On Firm Value (A Study On Jakarta Islamic Index In The Period Of 2014-2018 …",2020,"… Undergraduate Program Faculty of Economics and Business Universitas Brawijaya. … Si.,
Ak as the Head of Undergraduate Program in Accounting Universitas Brawijaya Malang; …"
"[PDF] The study of development of urban farming agrotourism Subak-Irrigation-Based in Sanur tourism area, Denpasar City, Bali",2018,"This study aims to study the development of urban farming agrotourism planning in Sanur
Tourism area. The approach used the Participatory Rural Appraisal (PRA), which is an …"
[PDF] The Difficulties of writing descriptive text for junior high schoolers,2022,"When the pandemic still exists in Indonesia, all schools require hybrid learning for students
who attend school and online learning for those who do not. It forced educational institutes, …"
"Reliability of using high-resolution aerial photography (red, green and blue bands) for detecting available soil water in agricultural land",2020,"The need for irrigation water is influenced by soil water content or more precisely by
available water (pF 2.5 and pF 4.2). There is a need for technological breakthroughs in using …"
Optical Properties of Nd3+ Doped Phosphate Glasses at 4F3/2-4I11/2 Hypersensitive Transitions,2016,"The lasing transition 4F3/2®4I11/2 for Nd3+ doped phosphate glass centered around 1.05
– 1.07mm is referred as hypersensitive transition. The radiative properties such as effective …"
[PDF] Soil characteristics of post-mining reclamation land and natural soil without top soil,2020,"Generally, Nickel mining was conducted by the open-pit mining method which caused change
of soil physical, chemical and biological properties. Reclamation land often experienced …"
The Influence Of Brand Image And Promotional Mix Toward Users' Repurchase Intention Of Telecommunication Provider (A Case Study Of Smartfren Users In …,2014,"… kembali oleh pengguna Smartfren di Universitas Brawijaya.Analisis data pada penelitian ini
… kembali pengguna Smartfren di Universitas Brawijaya.Dengan mempertahankan salah satu …"
"[PDF] Exploration of herpetofauna habitat as tourism attraction: ecology, preferences, and potentials",2018,"Herpetofauna (Class: Reptilia, Amphibia) has potential value as tourist attraction and its
sustainability could be preserved by ecotourism program. We propose a new fauna-based …"
Quality assessment of mangrove growing environment in Pasuruan of East Java,2017,"The occurrence of pollution in mangrove land is due to changes in physical, chemical and
biological properties of water because of the increasing human activities that produce …"
"[PDF] Poverty and tourism: strategies and opportunities in Karimunjawa Island, Central Java",2017,"This article analyzes the strategies of Pro-Poor Tourism (PPT), ie the strategies to increase
the benefits for poor people from tourism development. It explained the view that tourism, on a …"
Estimation The Size Of Underground Economy And Tax Potential Loss In Indonesia From 2000–2017,2019,"Produk Domestik Bruto (PDB) merupakan ukuran yang masih dianggap paling tepat untuk
memproyeksikan performa ekonomi di suatu negara. Namun GDP mempunyai kelemahan …"
Adsorption of lead and copper using water hyacinth compost (Eichornia Crassipes),2014,"Adsorption ofheavy metals Pb and Custudies have been carried out usinga compost of
plant water hyacinth (Eichornia crassipes). First steps of the compostingis fermenting fresh …"
… Based Differences In Compliment Responses Used By 8 th Semester Students Of English Department Program AT Faculty Of Cultural Studies Universitas Brawijaya,2015,"… semester 8 Fakultas Ilmu Budaya Universitas Brawijaya? (2) … Inggris di Fakultas Ilmu Budaya
Universitas Brawijaya. Penulis … mahasiswa Fakultas Ilmu Budaya Universitas Brawijaya. …"
"[PDF] Plants as natural dyes for jonegoroan batik processing in Jono cultural tourism village, Bojonegoro, East Java",2015,"Batik Jonegoroan is one of the potential tourism product in Jono Village, Bojonegoro. Batik
was processed by traditional procedure using natural dyes from plants. In order to preserve …"
"[PDF] Climate variability, communities' perceptions and land management strategies in Lay Gayint Woreda, Northwest Ethiopia",2018,"Climate variability is the fluctuation of climate elements from the normal values making the
agrarian communities of Ethiopia the most sensitive social groups to its hazards. The …"
"[PDF] The potential of wild vegetation species of Eleusine indica L., and Sonchus arvensis L. for phytoremediation of Cd-contaminated soil",2017,"Phytoremediation has been intensively studied due its costs effectiveness and environmentally
sound. Studies of heavy metal pollution phytoremediation has been done in develop …"
"[PDF] The Floating Market of Lok Baitan, South Kalimantan",2016,"Tourism plays an important role in the development of local economic. Tourism has been
reported contributes significantly in the local development. Floating market in South …"
[HTML] MDA and histologic profile of pancreatic diabetic-rats model administered with extract of Glycine max (L.) Merr,2016,"Diabetes Mellitus is characterized by leveling up glucose in human blood and affects
increasing of free radicals in body as well as leading to cellular oxidative stress. Experimentally, …"
"Knowledge, action, perception and attitude of management of talangagung landfill toward edu-tourism program: A community perspective",2018,"This study aimed to determine the knowledge, action, perception, and attitude of landfill
managers and community to Talangagung landfill program as an edu-tourism destination in …"
[PDF] The effect of soil tillage system and weeding time on the growth of weed and yield of soybean (Glycine max (L.) Merril),2018,"The growth and yield of soybeans can decrease due to competition from weeds. Various
efforts have been made to control the growth of weeds such as land preparation and weeding …"
Effect of organic fertilizer and its residual on cowpea and soybean in acid soils,2017,"The expansion of planting areas on acid soils is one of the strategies to achieve Indonesian
self-sufficiency program on food. Acidic soil has low pH that causes contents of Al, Fe, and …"
"[PDF] Environmental damage assessment due to traditional mining on local scale in the Wungkal Hills, Yogyakarta-Indonesia",2020,"Environmental damage due to mining activities has now become an international issue as
its regional and global assessments are widely reported from various mining commodities. …"
[PDF] Tourism impact on conservation and utilization of Borobudur temple after being declared as ten new Bali tourist destination in Indonesia,2020,"Borobudur as a world heritage site is one of 10 New Bali Tourist Destination or 10 Priority
Tourist Destination in Indonesia. The problem arises as government’s aim to attract tourists as …"
A study on brown seaweed therapy (Sargassum sp.) toward MDA levels and histological improvement on rat foot suffering rheumatoid arthritis,2013,"Rheumatoid arthritis (AR), an autoimun disease, is characterized by the inflammation in the
joint area caused an excessive of free radicals. An excessive of free radicals in the body …"
The influence of brand awareness and brand image on purchase decision (Study on Aqua consumers in Administrative Science Faculty Brawijaya University Class of …,2013,"This research aims:(1) To examine the partial influence of Brand Awareness on Purchase
Decision.(2) To examine the partial influence of Brand Image on Purchase Decision.(3) To …"
Conservation and production impacts of soil and water conservation practices under different socio-economic and biophysical setting: a review,2019,"In Ethiopia, the increase in land degradation mainly in the form of soil erosion necessitates
implementation of soil and water conservation (SWC) practices. So far impact evaluation …"
[PDF] Application of wood vinegar coconut shell and NPK fertilizer to maintain sustainable agriculture of upland rice production,2018,"Objective of this study was to know the effect of NPK fertilizer and wood vinegar coconut shell
on upland rice yield and, pest and disease intensity. Inpago Unsoed 1 was a main object …"
Students' Perception on The Use of English Subtitled Video in Vocabulary Learning at English Language Education Program on Batch 2017 Universitas Brawijaya,2019,"… persepti pelajar dalam penggunaan video bersubtitle bahasa Inggris untuk belajar kosakata
di Program Studi Pendidkan Bahasa Inggris angkatan 2017 Universitas Brawijaya. Studi ini …"
Correlation between Self-Regulation Learning Strategy and Receptive Vocabulary Size of English Department Students at Universitas Brawijaya.,2017,"Penelitian ini bertujuan untuk mengetahui hubungan dari strategi pembelajaran self-regulation
dan jumlah kosakata reseptiv dari mahasiswa jurusan Bahasa Inggris di Univerxitas …"
[PDF] Treatment of compost as a source of organic material for bacterial consortium in the removal of sulfate and heavy metal lead (Pb) from acid mine drainage,2021,"Article history: Received 25 June 2021 Accepted 22 July 2021 Published 1 October 2021
Acid mine drainage can pollute the environment because it is acidic and contains toxic heavy …"
… Feedback Used by the Lecturer and Students Preference on its Feedback: An Analysis in English Course of Anthropology Study Program Universitas Brawijaya,2019,"Penelitian ini dilakukan berdasarkan masalah yang dialamai oleh kebanyakan mahasiswa
jurusan non-Bahasa Inggris dalam mengembangkan keterampilan berbicara Bahasa Inggris…"
[PDF] The challenges of developing tourism events in Bromo Tengger Semeru National Park,2018,"Tourism in Bromo Tengger Semeru National Park has been considered important for national
earning and local community development. As a conservation area, the development of …"
Optimization of 5G NR Network Based on Performance of 4G LTE Network in Area of Universitas Brawijaya Malang,2022,"… condition of the 4G LTE network in the Universitas Brawijaya Malang area is said to be good
… using NR technology in the area of Universitas Brawijaya, Malang, the results obtained are …"
Word Association Responses and their Relationship with Lexical Storage: A Case Study of Word Association Test on Japanese Study Program Students University of …,2011,"Penyimpanan kata membahas mengenai bagaimana suatu kata disimpan di dalam otak.
Ada beberapa penelitian mengenai penyimpanan kata pada penutur asli dan pembelajar …"
[PDF] Phytoextraction to promote sustainable development,2013,"Mining makes a positive contribution to the economy of Indonesia. Significant earnings accrue
through the export of tin, coal, copper, nickel and gold. Of these commodities, gold carries …"
[PDF] Evaluating environmental service of Trisula Waterfall as nature-based tourism attraction in Bromo Tengger Semeru National Park,2017,"Tourism activity in Trisula waterfall (locally called Coban Trisula) is growing significantly.
The environmental management is important to perform the sustainable use of waterfall as …"
Association between the effectiveness and immunogenicity of inactivated SARS-CoV2 vaccine (CoronaVac) with the presence of hypertension among health care …,2022,"Objective This study aimed to observe the association between the presence of hypertension
with Covid-19 vaccine effectiveness among healthcare workers who received CoronaVac …"
Application of perennial legume green manures to improve growth and yield of organic lowland rice,2016,"A pot experiment in green house was done to study the effect of the dosage and speciesof
perennial legume green manures to the physiological traits, growth and yield of organic …"
